,Photo ID #,Date,Title,Keywords
988,47109,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Shooting
989,47110,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Shooting
990,47111,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,
991,47112,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,
992,47113,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Aftermath
993,47114,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Aftermath
994,47115,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Aftermath
995,47116,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Aftermath
996,47117,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,Aftermath
997,47118,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,"Aftermath,ID Cards"
998,47119,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,"Aftermath,ID Cards"
999,47120,2019-07-15,Scenes From Soldiers of the Caliphate Storming Some Sites of the Taliban Apostates in (Shirzad) Region in Nangarhar,"Cannon,Mortar,RPG"
1000,47152,2019-07-16,Targeting an American Base With a Katyusha Missile in (Achin) Region in Nangarhar,Missiles
1001,47153,2019-07-16,Targeting an American Base With a Katyusha Missile in (Achin) Region in Nangarhar,Missiles
1002,47152,2019-07-16,Targeting an American Base With a Katyusha Missile in (Achin) Region in Nangarhar,Missiles
1003,47153,2019-07-16,Targeting an American Base With a Katyusha Missile in (Achin) Region in Nangarhar,Missiles
1004,47160,2019-07-16,"3 Months From the Battles Between Fighters of the Islamic State and ""Taliban"" Militia in Nangarhar",Infographic
1005,47426,2019-07-21,Caravan of the Martyrs: The Brother Amar Hudayfah al-Punjabi - May Allah Almighty Accept Him -,Aftermath
1006,47490,2019-07-30,Killed From Taliban Movement in the Recent Clash in Nangarhar,Aftermath
1007,47570,2019-07-30,Bodies of the Destroyed Taliban Apostates and Spoils Allah Bestowed on Soldiers of the Caliphate After Their Assault in (Suleiman Khel) Region in Tora Bora,Aftermath
1008,47571,2019-07-30,Bodies of the Destroyed Taliban Apostates and Spoils Allah Bestowed on Soldiers of the Caliphate After Their Assault in (Suleiman Khel) Region in Tora Bora,"Captured Weapons,Grenade,RPG"
1009,47572,2019-07-30,Bodies of the Destroyed Taliban Apostates and Spoils Allah Bestowed on Soldiers of the Caliphate After Their Assault in (Suleiman Khel) Region in Tora Bora,
1010,47594,2019-08-01,Capturing and Liquidating One of the Apostate Taliban Elements the Nonbeliever Called (Fadal Ahmad) in Kunar,"Hostage Photo,Execution"
1011,47595,2019-08-01,Capturing and Liquidating One of the Apostate Taliban Elements the Nonbeliever Called (Fadal Ahmad) in Kunar,Execution
1012,47596,2019-08-01,Capturing and Liquidating One of the Apostate Taliban Elements the Nonbeliever Called (Fadal Ahmad) in Kunar,"Hostage Photo,Execution,Beheading,Aftermath,RPG"
1013,48237,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1014,48238,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1015,48239,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1016,48240,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1017,48241,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1018,48242,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1019,48243,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1020,48244,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1021,48245,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1022,48246,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
1023,48247,2019-08-12,Picture Report: Scenes From the Atmosphere of Blessed Eid al-Adha in Wilayat Khorosan,
